galaxy_id,redshift,source_h5_row,bundle_h5_row
2716241122681076920,0.3319999873638153,10458,895
2716552403680894228,0.3179999887943268,10471,896
2735840439642080242,0.44999998807907104,10542,900
2674123525678045678,0.3720000088214874,10804,919
2722450504640147744,0.3440000116825104,10867,925
2701076150643666434,0.21199999749660492,10948,931
2634760964672807332,0.3799999952316284,11096,948
2680827162644048359,0.3540000021457672,11136,955
2641839185645003759,0.5,11182,962
2635404904649320841,0.25999999046325684,11498,994
2708650085643419773,0.4099999964237213,11662,1010
2655865185666491321,0.3799999952316284,12025,1047
2719987804646622497,0.3319999873638153,12183,1058
2771374435667996495,0.3700000047683716,12270,1071
2645009328656593858,0.40799999237060547,12271,1072
2723473427656231835,0.33000001311302185,12280,1075
2639141838678472207,0.4399999976158142,12637,1112
2640999283678322079,0.20000000298023224,12680,1116
2689986447661246575,0.4440000057220459,12693,1119
2751861246661522716,0.3319999873638153,12736,1121
2676322463655402052,0.3199999928474426,12824,1127
2748496316650189958,0.44200000166893005,13101,1151
2732778101649423217,0.3100000023841858,13177,1161
2672405367663250290,0.44999998807907104,13321,1168
2638221273674250575,0.25999999046325684,13375,1172
2765052084650473697,0.4560000002384186,13496,1181
2658278849643543025,0.3319999873638153,13736,1210
2686151032650467129,0.30399999022483826,14054,1242
2667204792638457347,0.3319999873638153,14061,1244
2666232878684205767,0.39399999380111694,14158,1255
2688447217641893197,0.33000001311302185,14225,1258
2759610638658490808,0.44999998807907104,14400,1274
2633557810648986290,0.44999998807907104,14496,1281
2632454213649667211,0.20999999344348907,14775,1305
2622569327657696214,0.36800000071525574,14864,1312
2736492878654229962,0.38999998569488525,15009,1327
2752869592656889052,0.38199999928474426,15166,1339
2716172543643728130,0.3140000104904175,15194,1341
2689602929650030213,0.4339999854564667,15378,1359
2652897238651184721,0.33399999141693115,15594,1389
2669313970638929953,0.20000000298023224,15667,1392
2628483600674995807,0.3100000023841858,15868,1407
2654133320647726073,0.33000001311302185,15935,1411
2757010902647492567,0.4300000071525574,16178,1435
2642432515668178517,0.4519999921321869,16452,1460
2657847497686125983,0.43799999356269836,16543,1467
2636796188667693078,0.2619999945163727,16623,1480
2698456430639002209,0.37599998712539673,16707,1490
2756440666644806629,0.4480000138282776,16709,1492
2758171791658995592,0.3479999899864197,16861,1503
2649857564660454764,0.38999998569488525,16949,1510
2727731808644597266,0.3100000023841858,17004,1515
2646044210652514771,0.3799999952316284,17078,1525
2656216088673362732,0.38999998569488525,17079,1526
2745602376666004378,0.21799999475479126,17157,1533
2633175246662101906,0.27399998903274536,17215,1536
2653963844682036336,0.33000001311302185,17321,1546
2713865260691666770,0.4300000071525574,17531,1566
2627689627659471606,0.21799999475479126,17659,1576
2673192886680742411,0.3100000023841858,17688,1578
2649132257640592988,0.3240000009536743,17735,1583
2685905138648717223,0.4099999964237213,17755,1586
2649314716653524374,0.4480000138282776,17757,1587
2743290083673671935,0.22200000286102295,18324,1633
2700439600683334959,0.33000001311302185,18593,1654
2636802725642419763,0.3959999978542328,18787,1674
2700134301682764790,0.1420000046491623,18876,1684
2741076588658434678,0.3799999952316284,18878,1685
2665470481688789277,0.44999998807907104,18897,1687
2652679656681894157,0.33000001311302185,18974,1690
2747017531671029620,0.33000001311302185,19223,1705
2658991564654173165,0.4480000138282776,19481,1729
2746334301659883726,0.3400000035762787,19578,1740
2667519934675020274,0.3720000088214874,19598,1743
2631264907658133124,0.4399999976158142,19909,1772
2739742144669227636,0.2980000078678131,20053,1782
2695211316680452622,0.4659999907016754,20422,1823
2749873882662978628,0.257999986410141,20912,1872
2652662496683909745,0.2980000078678131,20986,1878
2711641526680046829,0.3499999940395355,21022,1883
2636286698654772929,0.335999995470047,21182,1902
2715373522680557178,0.257999986410141,21218,1906
2672023683677514348,0.4399999976158142,21313,1915
2705801448641500202,0.41999998688697815,21531,1933
2733099604643050603,0.38999998569488525,21689,1945
2648275014648293740,0.37400001287460327,21710,1947
2688009845692208524,0.38600000739097595,21772,1953
2640970274644093587,0.18000000715255737,21956,1970
2721393147641953475,0.4880000054836273,21996,1975
2767235268648180794,0.44999998807907104,22012,1977
2768538320648573590,0.25999999046325684,22166,1988
2736360612640041886,0.4399999976158142,22199,1992
2665298684655105249,0.19599999487400055,22309,1994
2700930015654848534,0.4300000071525574,22412,2001
2720605761653909923,0.37400001287460327,22559,2008
2736571070640094554,0.4099999964237213,22562,2009
2663379066660803944,0.3619999885559082,22569,2012
2742761334675549102,0.36000001430511475,22825,2036
2771345538668167186,0.4580000042915344,22843,2038
2710319736687954959,0.33799999952316284,22965,2048
2764350515655258336,0.33799999952316284,23167,2064
2685879300686564828,0.32600000500679016,23420,2089
2687454827686878874,0.3100000023841858,23446,2091
2760804870655283199,0.3880000114440918,23460,2092
2638854994659205023,0.33399999141693115,23529,2103
2650703930670220342,0.20800000429153442,23719,2118
2709931563684919405,0.43799999356269836,23982,2137
2636683884674758348,0.3319999873638153,24020,2138
2767870493648871897,0.43799999356269836,24075,2145
2763472322650135616,0.37599998712539673,24199,2155
2695857391649933328,0.41999998688697815,24214,2156
2743839365652501110,0.45399999618530273,24455,2180
2658924905639844303,0.33000001311302185,24494,2185
2651018793644398917,0.44999998807907104,24519,2187
2661947351684416488,0.3400000035762787,24643,2201
2684898543649096817,0.3619999885559082,24696,2209
2632385097650811967,0.20399999618530273,24796,2219
2751552650682389459,0.3659999966621399,24827,2224
2654866944679175105,0.4819999933242798,25245,2261
2633177896649903170,0.4860000014305115,25332,2269
2730934496640353415,0.40400001406669617,25457,2282
2719551777652082283,0.27000001072883606,25575,2293
2690022589639465163,0.3479999899864197,25698,2307
2730968796639630654,0.30000001192092896,25956,2330
2755105374677993042,0.20999999344348907,26092,2345
2732400834655902575,0.33000001311302185,26263,2362
2762731939649825459,0.44999998807907104,26269,2365
2757173614647491095,0.26600000262260437,26487,2390
2654322646647681080,0.3240000009536743,26497,2392
2772546386662510250,0.3319999873638153,26705,2412
2676024182648688116,0.33000001311302185,26758,2421
2685029107646188856,0.33000001311302185,27034,2443
2695918661639680368,0.4359999895095825,27221,2461
2650940055656348261,0.38600000739097595,27268,2465
2753012298670590390,0.38999998569488525,27327,2470
2639721432667431626,0.3100000023841858,27377,2472
2674569467646643545,0.20000000298023224,27378,2473
2747547796676894596,0.27799999713897705,27438,2483
2757970877669237948,0.3540000021457672,27492,2488
2645544901659689289,0.25999999046325684,27572,2499
2677336752647696608,0.33000001311302185,27753,2516
2754920299642384573,0.30000001192092896,27810,2520
2761416266652996922,0.31200000643730164,27833,2523
2756196262642833828,0.3019999861717224,27845,2524
2735863451688182456,0.3720000088214874,28087,2543
2651635570639476205,0.4339999854564667,28514,2574
2686750599648497195,0.32600000500679016,28619,2582
2629387293652743847,0.37400001287460327,29177,2635
2727374477677564356,0.4519999921321869,29285,2645
2668351434676672430,0.4180000126361847,29291,2647
2668283184674367120,0.4359999895095825,29482,2659
2633766009656328925,0.42399999499320984,29694,2680
2763080092662957690,0.33000001311302185,29753,2688
2648291856682171247,0.45399999618530273,29794,2689
2701293844679022802,0.33000001311302185,30127,2715
2754797024673722518,0.43799999356269836,30315,2732
2727449545684562802,0.1340000033378601,30447,2744
2764348473668280088,0.33000001311302185,30705,2768
2728288316667127080,0.33799999952316284,30746,2771
2663021431657147069,0.328000009059906,31044,2799
2659878737680945358,0.45399999618530273,31260,2822
2749953291662455059,0.4659999907016754,31413,2837
2735168077645528070,0.3100000023841858,31802,2874
2692382673646880305,0.3059999942779541,31826,2877
2731975240644157922,0.37599998712539673,31914,2885
2725283792638991548,0.43799999356269836,31955,2889
2643287709644226567,0.4620000123977661,32230,2907
2641637353654664574,0.3840000033378601,32420,2932
2638260334649824837,0.37599998712539673,32590,2946
2677735944653205119,0.43799999356269836,32637,2951
2738411555644507777,0.3199999928474426,32673,2955
2636998763649074433,0.4259999990463257,32677,2957
2716151925690218810,0.3499999940395355,32693,2960
2746943008638592904,0.4180000126361847,32696,2961
