galaxy_id,redshift,source_h5_row,bundle_h5_row,catalog_log_stellar_mass,recent_delta_ms,recent_window,recent_ms_settings
2746431070639397278,0.6000000238418579,87959,7866,,,,
2639596164656448244,0.5419999957084656,88094,7873,,,,
2646657717661339011,0.5640000104904175,88154,7875,,,,
2767109854667183311,0.6840000152587891,88354,7901,,,,
2712095748678483335,0.5979999899864197,88603,7928,,,,
2711440064674330454,0.6579999923706055,88653,7932,,,,
2697041286652424739,0.6200000047683716,89019,7971,,,,
2670171781677940536,0.5099999904632568,89051,7974,,,,
2698475013638167478,0.6700000166893005,89077,7976,,,,
2705108863641376532,0.6060000061988831,89195,7992,,,,
2634323804671943349,0.6420000195503235,89238,7999,,,,
2751534092646271391,0.5120000243186951,89441,8014,,,,
2661473100681456699,0.6740000247955322,89904,8067,,,,
2698069347675670636,0.6880000233650208,89943,8071,,,,
2737179981682825985,0.5199999809265137,90079,8088,,,,
2712186939664193596,0.5820000171661377,90338,8115,,,,
2681635046642344080,0.5400000214576721,90519,8130,,,,
2766950616648249769,0.5899999737739563,90590,8145,,,,
2713039868689261909,0.527999997138977,90642,8150,,,,
2722216119689368927,0.628000020980835,90736,8158,,,,
2743487934652653056,0.5699999928474426,90825,8167,,,,
2676574357675236495,0.6460000276565552,90903,8171,,,,
2728540876680218483,0.5820000171661377,90919,8173,,,,
2734580033676530899,0.5960000157356262,90956,8179,,,,
2693112105643916109,0.6019999980926514,91352,8207,,,,
2732479737674268681,0.5040000081062317,91550,8228,,,,
2660925266646738620,0.5199999809265137,91678,8244,,,,
2744002252641471504,0.6259999871253967,91721,8250,,,,
2631150454662613618,0.6420000195503235,92250,8296,,,,
2735417733686791607,0.527999997138977,92479,8314,,,,
2705424623683516181,0.5879999995231628,92544,8320,,,,
