galaxy_id,redshift,source_h5_row,bundle_h5_row
2770806576667926320,0.25600001215934753,22838,2037
2661381580683004974,0.04800000041723251,22900,2042
2725715037653455349,0.12600000202655792,22984,2052
2646974453658041723,0.3179999887943268,23033,2054
2695115168686891129,0.12800000607967377,23200,2067
2737392482659286329,0.2199999988079071,23440,2090
2712191493683579843,0.25999999046325684,23464,2093
2743469278654947746,0.27000001072883606,23479,2096
2692497771687706953,0.0820000022649765,23509,2100
2759185133655256786,0.3659999966621399,23547,2105
2761173808655179352,0.2879999876022339,23560,2106
2638706835660657603,0.2199999988079071,23649,2115
2711754322684429785,0.30399999022483826,23928,2133
2717530349654807227,0.28999999165534973,23960,2136
2670831394663456705,0.30799999833106995,24062,2143
2653287090675110605,0.3100000023841858,24089,2147
2623360267659471049,0.014000000432133675,24151,2150
2624334700659779384,0.10999999940395355,24170,2152
2674222966645004395,0.47999998927116394,24238,2157
2695721349649590767,0.30399999022483826,24322,2169
2687475883643412241,0.3100000023841858,24378,2171
2710679235690327726,0.3100000023841858,24467,2182
2668482955646204928,0.23000000417232513,24614,2197
2653777523665795535,0.20200000703334808,24638,2199
2671811801644433854,0.20399999618530273,24694,2208
2759232871679992227,0.3100000023841858,24704,2210
2711230319662536136,0.30799999833106995,24716,2213
2709544428648815807,0.14000000059604645,24719,2214
2688537345642370190,0.38600000739097595,24911,2234
2730366455640555828,0.21799999475479126,25100,2250
2653983084644489055,0.2619999945163727,25379,2274
2723984070642491124,0.12600000202655792,25399,2275
2626549113655521246,0.17000000178813934,25455,2281
2623920776671575434,0.09600000083446503,25538,2287
2725583616662737475,0.13199999928474426,25550,2289
2679576249638967836,0.3700000047683716,25574,2292
2728688602678988342,0.18000000715255737,25596,2295
2683290545647426606,0.3619999885559082,25602,2297
2762834145676870300,0.3919999897480011,25633,2301
2629185624655877025,0.22200000286102295,25724,2309
2762987667676739422,0.25999999046325684,25929,2328
2672055725648344512,0.12999999523162842,25960,2331
2739783466640637211,0.17800000309944153,25970,2332
2672387691652762104,0.15000000596046448,25978,2334
2724181209651163046,0.11400000005960464,26020,2336
2755818051677657736,0.27000001072883606,26153,2351
2686966799659204121,0.17000000178813934,26177,2353
2744188886682503351,0.23399999737739563,26216,2358
2734067115654338145,0.07599999755620956,26324,2373
2744123841640668412,0.1379999965429306,26342,2374
2673792642640329495,0.3240000009536743,26409,2379
2646718134660631010,0.11599999666213989,26511,2393
2666493289672465233,0.2199999988079071,26524,2396
2665110502671486359,0.25999999046325684,26667,2409
2765363758652526907,0.27000001072883606,26692,2410
2656000840650882098,0.15600000321865082,26807,2426
2725315019649363008,0.3700000047683716,26967,2438
2708271717639097177,0.15000000596046448,27077,2447
2711367555650214505,0.3700000047683716,27122,2451
2751851129643622080,0.29600000381469727,27126,2452
2698360503689421013,0.1120000034570694,27142,2454
2662700287649011364,0.2639999985694885,27173,2457
2756337427661125711,0.25999999046325684,27174,2458
2651058529643652470,0.23399999737739563,27231,2462
2694632891640751289,0.33399999141693115,27252,2463
2752501398676584597,0.20200000703334808,27256,2464
2736169537674603963,0.2199999988079071,27393,2477
2763039138653642018,0.17000000178813934,27396,2478
2761546695651749137,0.3499999940395355,27545,2494
2647459927651787742,0.33000001311302185,27551,2497
2751783490664647515,0.3779999911785126,27561,2498
2760958575651781526,0.24400000274181366,27579,2500
2696253783691179539,0.3240000009536743,27589,2502
2660525278648931257,0.3400000035762787,27596,2504
2753824780654231111,0.2280000001192093,27709,2512
2648887283649299237,0.25,27832,2522
2746622854665188751,0.14000000059604645,27990,2535
2649784625645381619,0.12600000202655792,28080,2541
2718180664640135493,0.17399999499320984,28172,2548
2640675754648715663,0.18199999630451202,28196,2550
2742369998645047708,0.257999986410141,28229,2552
2710160263680648341,0.25600001215934753,28248,2553
2659919426638624010,0.36000001430511475,28435,2567
2757911278682355429,0.2460000067949295,28457,2569
2717105050640026171,0.3400000035762787,28469,2570
2631591702661465477,0.2619999945163727,28485,2572
2643042008646322695,0.30000001192092896,28599,2580
2648502992639874042,0.19599999487400055,28628,2583
2703635676644047821,0.012000000104308128,28710,2592
2664797661644702965,0.17800000309944153,28815,2598
2735686421684341867,0.10000000149011612,28911,2609
2628916067676995779,0.10599999874830246,28940,2614
2653737781662979320,0.2280000001192093,29068,2622
2649624888682763600,0.18000000715255737,29078,2623
2741603697649700551,0.34200000762939453,29189,2636
2715255881651369638,0.28200000524520874,29260,2639
2687637304689682124,0.1379999965429306,29547,2665
2766409967673905188,0.25200000405311584,29553,2666
2692836750651457998,0.18199999630451202,29591,2670
2651489258667246301,0.10599999874830246,29795,2690
2750460908669040286,0.3199999928474426,29845,2694
2711617881688462322,0.3240000009536743,29868,2698
2706288248684794734,0.3479999899864197,29956,2700
2756493843674579666,0.31200000643730164,30009,2702
2713186620645189366,0.17000000178813934,30010,2703
2670118097657079107,0.15000000596046448,30018,2706
2733411857680423066,0.2199999988079071,30113,2714
2640169004657984711,0.28999999165534973,30160,2718
2727436577684708536,0.15199999511241913,30232,2726
2699352521676875556,0.2800000011920929,30270,2730
2767828130667581817,0.11599999666213989,30283,2731
2722253021684624492,0.2199999988079071,30419,2739
2709818290677316222,0.1459999978542328,30539,2750
2713939076677734045,0.1379999965429306,30631,2758
2737923630669111729,0.25999999046325684,30658,2761
