galaxy_id,bundle_index,log_stellar_mass,redshift,phz_log_ssfr,phz_delta_ms,sfh_umap_x,sfh_umap_y,n_checkpoints
2737756090648674923,11477,10.757949829101562,0.843999981880188,-10.168599665164948,0.08332134925471324,-1.7503958940505981,12.607195854187012,13
2732827807651478642,11500,11.198380470275879,0.8199999928474426,-14.258021354675293,-3.841255405781476,0.06325846165418625,14.191606521606445,14
2634693585663087372,11517,11.425355911254883,0.7900000214576721,-12.162717640399933,-1.6433656966733268,-0.6822971701622009,15.072921752929688,14
2734541556683014051,11521,11.137466430664062,0.7879999876022339,-12.57815957069397,-2.1531366805006464,-0.7104194760322571,15.325431823730469,14
2765681518653335162,11527,10.793716430664062,0.7279999852180481,-11.015131711959839,-0.6516764194689447,-1.1385536193847656,15.897724151611328,13
2663267759669082196,11528,10.603720664978027,0.7300000190734863,-10.491109661757946,-0.19447559657102487,1.8599389791488647,13.31834888458252,13
2678615577641461018,11538,11.064937591552734,0.8199999928474426,-11.33618849515915,-0.9634688690145922,-3.0350682735443115,14.765448570251465,14
2693741541650344329,11545,10.93835163116455,0.8220000267028809,-10.737735480070114,-0.40848714993979185,-1.3028669357299805,13.823397636413574,13
2657616997665052055,11552,11.073437690734863,0.8299999833106995,-13.158875465393066,-2.791922194310755,-3.334514617919922,12.751080513000488,14
2707402373649204454,11556,11.549322128295898,0.828000009059906,-11.492425456643105,-0.9671649454283231,-4.210360050201416,14.163590431213379,14
2738667533663440783,11561,10.932392120361328,0.7919999957084656,-10.864442184567451,-0.5114474293826611,-1.1529864072799683,11.27541446685791,13
2692271036644809233,11587,11.33056640625,0.8399999737739563,-11.717874318361282,-1.275164406094008,-3.0122435092926025,15.200642585754395,14
2684353750638919377,11588,10.9376802444458,0.7179999947547913,-10.607368677854538,-0.18517647258584058,-2.013338327407837,15.652006149291992,13
2751298698680732794,11590,10.814857482910156,0.7559999823570251,-10.392062723636627,-0.04679373513454321,1.218988299369812,13.634485244750977,13
2727770358681166701,11593,11.179741859436035,0.8320000171661377,-10.895958602428436,-0.4957792067706027,-3.6170811653137207,12.057409286499023,14
2765117457657574893,11596,11.427310943603516,0.7319999933242798,-11.225702002644539,-0.6493896719605715,-1.0573489665985107,15.840285301208496,14
2724432585661459752,11599,11.319947242736816,0.8240000009536743,-12.387157201766968,-1.9338294744977946,-3.258049488067627,14.630738258361816,14
2664346641675955320,11608,11.293689727783203,0.843999981880188,-12.123591184616089,-1.696432827717468,-3.639604091644287,13.911553382873535,14
2752527619677366255,11626,11.350409507751465,0.8619999885559082,-10.75958639383316,-0.3294268243047439,-4.236464977264404,13.83326530456543,14
2710028288679110174,11627,11.066905975341797,0.7200000286102295,-10.804777771234512,-0.34010572471540323,-1.3459097146987915,14.767661094665527,14
2722238079649257346,11631,11.166144371032715,0.8259999752044678,-11.285445213317871,-0.8845444269091584,-2.029895782470703,15.312187194824219,14
2661990533645856630,11647,11.130831718444824,0.7900000214576721,-15.273361682891846,-4.852357768621622,1.2580705881118774,12.094902992248535,14
2629094238657285493,11678,11.181899070739746,0.8360000252723694,-12.844241976737976,-2.44680136672225,-3.0406198501586914,13.214676856994629,14
2633643943656498485,11686,10.864705085754395,0.8119999766349792,-10.627864465117455,-0.31451961331625233,0.02821904420852661,14.229819297790527,13
2629297229657028940,11692,11.112189292907715,0.8299999833106995,-10.709759324789047,-0.3300636162393801,-1.7369641065597534,11.238975524902344,14
2764025187661717379,11695,11.600397109985352,0.7319999933242798,-11.280281484127045,-0.6448176506017896,-1.44979727268219,15.971845626831055,14
2750584515645273020,11710,11.348611831665039,0.8519999980926514,-11.45792829990387,-1.0197544336036342,-3.2522659301757812,11.566102027893066,14
2745217026669642339,11711,11.096019744873047,0.7639999985694885,-11.061584290117025,-0.6285735166904743,-1.7566883563995361,11.22407054901123,14
2680981646680662485,11719,11.414852142333984,0.843999981880188,-10.720780849456787,-0.2539910561260875,-3.1857283115386963,15.32611083984375,14
2631890067669220076,11722,11.009880065917969,0.7300000190734863,-11.801670670509338,-1.3661197912912804,-1.744138479232788,14.895462036132812,14
2716935738689292019,11748,11.494306564331055,0.7300000190734863,-11.791543781757355,-1.1903067565678618,-2.9340415000915527,14.77908992767334,14
2699697429686803659,11766,10.878150939941406,0.7739999890327454,-10.801730193197727,-0.4511027230549264,-3.36875319480896,13.401816368103027,13
